atc-host-1.cdn.inner. 10.68.253.41
atc-host-2.cdn.inner. 10.68.253.42
ats-edge-ra-1.cdn.inner. 192.168.175.45
ats-edge-ra-2.cdn.inner. 192.168.175.49
ats-edge-co-1.cdn.inner. 10.68.176.202
ats-edge-co-2.cdn.inner. 10.68.176.201
ats-edge-co-3.cdn.inner. 10.68.176.203
ats-edge-co-4.cdn.inner. 10.68.176.204
ats-edge-qota-1.cdn.inner. 10.68.212.82
ats-edge-qota-2.cdn.inner. 10.68.212.83
ats-edge-talc-1.cdn.inner. 192.168.172.228
ats-edge-copi-1.cdn.inner. 192.168.174.164
ats-edge-pmon-1.cdn.inner. 192.168.179.240
ats-edge-temu-1.cdn.inner. 10.68.162.230
ats-edge-temu-2.cdn.inner. 10.68.162.231
ats-edge-vald-1.cdn.inner. 192.168.179.169
ats-edge-osor-1.cdn.inner. 192.168.179.120
ats-edge-curi-1.cdn.inner. 192.168.172.169
ats-edge-vina-1.cdn.inner. 192.168.197.81
ats-edge-vina-2.cdn.inner. 192.168.197.82
ats-edge-vina-3.cdn.inner. 192.168.197.80
ats-edge-lser-1.cdn.inner. 192.168.175.19
ats-edge-lser-2.cdn.inner. 192.168.175.20
ats-edge-anto-1.cdn.inner. 10.68.162.170
ats-edge-anto-2.cdn.inner. 10.68.162.171
ats-edge-anto-3.cdn.inner. 10.68.162.174
ats-edge-chil-1.cdn.inner. 192.168.173.91
ats-edge-chil-2.cdn.inner. 192.168.173.92
ats-edge-chil-3.cdn.inner. 192.168.173.93
ats-edge-chil-4.cdn.inner. 192.168.173.94
ats-edge-lcon-2.cdn.inner. 192.168.175.218
ats-edge-lcon-1.cdn.inner. 192.168.175.217
ats-edge-lcon-3.cdn.inner. 192.168.175.219
ats-edge-lcon-4.cdn.inner. 192.168.175.220
ats-edge-lcon-5.cdn.inner. 192.168.188.213
ats-edge-lcon-6.cdn.inner. 192.168.188.214
ats-edge-lang-1.cdn.inner. 192.168.173.101
ats-edge-lang-2.cdn.inner. 192.168.173.102
ats-edge-inde-1.cdn.inner. 10.68.250.16
ats-edge-inde-2.cdn.inner. 10.68.250.18
ats-edge-inde-3.cdn.inner. 10.68.250.24
ats-edge-inde-4.cdn.inner. 10.68.250.26
ats-edge-inde-7.cdn.inner. 10.68.171.117
ats-edge-inde-8.cdn.inner. 10.68.171.118
ats-edge-inde-9.cdn.inner. 10.68.171.119
ats-edge-inde-10.cdn.inner. 10.68.171.120
ats-edge-laci-1.cdn.inner. 10.68.122.180
ats-edge-laci-2.cdn.inner. 10.68.122.181
ats-edge-inde-5.cdn.inner. 10.68.250.28
ats-edge-inde-6.cdn.inner. 10.68.250.30
ats-edge-inde-11.cdn.inner. 10.68.171.121
ats-edge-maip-1.cdn.inner. 10.68.122.172
ats-edge-maip-2.cdn.inner. 10.68.122.173
ats-edge-iqui-1.cdn.inner. 192.168.174.201
ats-edge-land-1.cdn.inner. 192.168.185.210
